"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2025","88.159","88.099","88.334","88.096","","-0.04%"
"09/04/2025","88.193","88.079","88.220","87.999","","0.14%"
"09/03/2025","88.073","88.045","88.195","87.975","","0.09%"
"09/02/2025","87.998","87.985","88.206","87.825","","0.00%"
"09/01/2025","88.001","88.175","88.343","87.931","","-0.20%"
"08/29/2025","88.174","87.591","88.313","87.575","","0.67%"
"08/28/2025","87.591","87.659","87.696","87.520","","-0.08%"
"08/27/2025","87.661","87.674","87.883","87.607","","0.03%"
"08/26/2025","87.635","87.623","87.805","87.582","","0.03%"
"08/25/2025","87.608","87.310","87.623","87.274","","0.32%"
"08/22/2025","87.331","87.266","87.551","87.179","","0.04%"
"08/21/2025","87.294","87.023","87.343","86.926","","0.32%"
"08/20/2025","87.018","87.073","87.171","86.980","","-0.06%"
"08/19/2025","87.070","87.297","87.382","86.921","","-0.28%"
"08/18/2025","87.311","87.545","87.559","87.296","","-0.23%"
"08/15/2025","87.513","87.692","87.694","87.410","","-0.20%"
"08/14/2025","87.691","87.471","87.700","87.385","","0.28%"
"08/13/2025","87.450","87.595","87.727","87.380","","-0.18%"
"08/12/2025","87.606","87.656","87.761","87.575","","-0.06%"
"08/11/2025","87.660","87.541","87.763","87.472","","0.20%"
"08/08/2025","87.489","87.435","87.759","87.435","","0.05%"
"08/07/2025","87.446","87.715","87.798","87.345","","-0.32%"
"08/06/2025","87.725","87.785","87.851","87.629","","-0.12%"
"08/05/2025","87.830","87.977","87.977","87.736","","0.17%"